저녁,,볶음짬뽕 ,계란탕,깐쇼새우 
저녁,,짜장밥,,라조육
저녁,,짬뽕밥 ,,고추잡채 
저녁,,새우볶음밥 ,,팔보채
저녁,,오징어덮밥 ,,유산술 
저녁,,잡채밥,,깐풍기 
저녁,,콩국수 ,,장어구이 
저녁,,왕만두 ,,랍스타
저녁,,메밀소바 ,,훠궈
저녁,,알밥,,
저녁,,물회 ,,
저녁,,육개장 ,,
저녁,,제육덮밥 ,,
저녁,,규동,,
저녁,,사케동 ,,
저녁,,타코,,
저녁,,설렁탕 ,,
저녁,,돼지국밥 ,,
저녁,,매운탕,,
저녁,,황태국 ,,
저녁,,마라탕,,
야식/안주,마른안주류,감자튀김 ,골뱅이무침,족발
야식/안주,콘치즈,돼지껍데기 ,닭발,보쌈
야식/안주,과자류 ,두부김치,치킨 ,꼼장어 
야식/안주,닭강정 ,오코노미야키,소시지야채볶음,야채곱창 
야식/안주,고구마 ,용가리튀김 ,순대볶음 ,순대곱창
야식/안주,호떡 ,군만두,육회,
야식/안주,붕어빵 ,닭강정 ,양꼬치 ,
야식/안주,군밤,매운탕 ,각종 전 ,
야식/안주,스팸 ,화채,양고기,
야식/안주,해쉬브라운,계란찜,오뎅탕 ,
야식/안주,카라아게 ,야끼소바,콩불,
야식/안주,핫바,,,
야식/안주,나초치즈,,,
,,,,
 ,,,,
